,Company,diff_csi300_LAST,norm_diff_csi300_LAST
180,601166.SH,-0.0340058001698,-0.575848886266
181,600900.SH,-0.126001465672,-0.81733110192
182,600297.SH,0.450628415236,0.696282180772
183,000625.SZ,0.0882481268889,-0.254940841115
184,600085.SH,0.0168934084508,-0.442242008097
185,600373.SH,0.269275053457,0.220242234981
186,002673.SZ,0.0521664338351,-0.349652772766
187,600718.SH,0.63119265969,1.17025074854
188,601866.SH,-0.0744773363676,-0.682083850475
189,002044.SZ,0.316360350664,0.343837861276
190,000559.SZ,0.313227156792,0.335613445548
191,600739.SH,0.152448187046,-0.0864201538923
192,300124.SZ,0.284198111167,0.259414222274
193,601888.SH,0.00993363795305,-0.460510920997
194,002024.SZ,0.305462722846,0.315232347132
195,601857.SH,-0.0616918661285,-0.648522881437
196,600060.SH,0.885603449202,1.83806135464
197,002411.SZ,-0.146766492994,-0.87183785263
198,300144.SZ,0.763566222393,1.51772213256
199,600827.SH,-0.119902496361,-0.801321732192
200,000876.SZ,0.331835890538,0.384460075778
201,600016.SH,-0.249083676262,-1.14041333366
202,002049.SZ,0.46997317564,0.747060829727
203,600895.SH,0.40807094543,0.584571786099
204,601377.SH,-0.100690865412,-0.750892538789
205,002065.SZ,0.578535352248,1.03202898339
206,002131.SZ,0.0790534797608,-0.27907614954
207,000060.SZ,0.19674221593,0.0298485874314
208,000963.SZ,0.0336175542732,-0.39834228993
209,601992.SH,-0.0448797005413,-0.604392117517
210,601608.SH,-0.228958273816,-1.08758555371
211,600637.SH,0.16975923213,-0.0409798660333
212,300104.SZ,1.74221240605,4.08660021482
213,002594.SZ,0.226629684016,0.108301109886
214,601006.SH,-0.112353537529,-0.781506240943
215,000415.SZ,-0.182634190589,-0.965988061102
216,000630.SZ,-0.0531218432251,-0.626027168105
217,600196.SH,0.0281383120829,-0.412724919123
218,600485.SH,-0.0762196116077,-0.686657201653
219,601727.SH,0.17801029272,-0.019321406563
220,600893.SH,0.182335174569,-0.0079688928807
221,600549.SH,0.0124354614033,-0.45394380866
222,601872.SH,-0.0685771925826,-0.666596383906
223,000839.SZ,0.566316671306,0.999955796791
224,002195.SZ,2.55981686926,6.23275499535
225,600010.SH,0.304432845302,0.312528990296
226,600535.SH,0.0264578462024,-0.417136025037
227,000725.SZ,0.0524696623209,-0.348856819107
228,000627.SZ,1.47279380738,3.37939515476
229,002241.SZ,0.21076186916,0.0666492008757
230,601718.SH,-0.019686311451,-0.538261225543
231,000069.SZ,0.0229335407099,-0.426387081533
232,002236.SZ,0.518369853043,0.874098737715
233,601186.SH,0.0716377003664,-0.298542054039
234,601669.SH,0.026637762325,-0.416663757744
235,000503.SZ,0.324809625908,0.36601662041
236,300072.SZ,0.416478021112,0.606639774325
237,002183.SZ,0.974275815776,2.07082014203
238,300251.SZ,0.225043740885,0.104138119609
239,600372.SH,-0.0417347392081,-0.596136813022
240,601117.SH,-0.114179934949,-0.786300406988
241,002500.SZ,-0.0946706846109,-0.735089983412
242,600309.SH,-0.039320173584,-0.589798746402
243,600019.SH,-0.13055789539,-0.829291412635
244,601118.SH,-0.00565538188303,-0.501431012497
245,600111.SH,-0.0965405059847,-0.73999813431
246,300168.SZ,0.281385999674,0.252032625433
247,600021.SH,0.932598586371,1.96142031712
248,600705.SH,0.189171380363,0.00997567127675
249,600583.SH,0.0612175807695,-0.325894142357
250,600519.SH,-0.113334145497,-0.784080268575
251,600999.SH,-0.0207921404671,-0.541163949704
252,002292.SZ,0.344105019235,0.416665684224
253,000568.SZ,0.0561756838766,-0.339128770599
254,601688.SH,0.0833526003597,-0.267791257345
255,601933.SH,0.177072002581,-0.0217843528384
256,601988.SH,-0.0912109374386,-0.726008388011
257,600188.SH,0.0178641061914,-0.439693994125
258,600570.SH,0.841559953287,1.72245024491
259,600685.SH,0.0459055605027,-0.366087129276
260,000917.SZ,0.280949373885,0.250886513141
261,600415.SH,0.881634412542,1.8276429098
262,600233.SH,0.46833479614,0.74276019763
263,002202.SZ,0.202077479668,0.043853283213
264,601009.SH,-0.133204466668,-0.83623847794
265,300027.SZ,0.0394172489939,-0.383118495161
266,600804.SH,0.669124702425,1.26981971925
267,000959.SZ,0.052372365994,-0.349112215189
268,600376.SH,0.03669255873,-0.390270617365
269,000009.SZ,0.142695872597,-0.1120193002
270,601919.SH,-0.113477544925,-0.784456682086
271,600208.SH,0.0323032744477,-0.40179218295
